"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Gnawnia Rift","-","-","-","-","-","Agitated Gentle Giant","Riftiago Potion",0.3399503722084367,403
"Gnawnia Rift","-","-","-","-","-","Dream Drifter","Magical String Cheese",1.518181818181818,110
"Gnawnia Rift","-","-","-","-","-","Dream Drifter","Ionized Salt",0.7454545454545455,110
"Gnawnia Rift","-","-","-","-","-","Dream Drifter","Riftiago Potion",0.5181818181818182,110
"Gnawnia Rift","-","-","-","-","-","Dream Drifter","Magic Essence",0.2545454545454545,110
"Gnawnia Rift","-","-","-","-","-","Excitable Electric","Riftiago Potion",0.2930591259640103,389
"Gnawnia Rift","-","-","-","-","-","Micro","Riftiago Potion",0.44144144144144143,222
"Gnawnia Rift","-","-","-","-","-","Micro","Ionized Salt",0.2927927927927928,222
"Gnawnia Rift","-","-","-","-","-","Mighty Mole","Riftiago Potion",0.22727272727272727,110
"Gnawnia Rift","-","-","-","-","-","Supernatural","Riftiago Potion",0.30833333333333335,360
"Gnawnia Rift","-","-","-","-","-","Cyborg","Riftgrass",0.8267716535433071,381
"Gnawnia Rift","-","-","-","-","-","Rift Guardian","Simple Orb",0.30666666666666664,225
"Gnawnia Rift","-","-","-","-","-","Rift Guardian","Flawed Orb",0.27555555555555555,225
"Gnawnia Rift","-","-","-","-","-","Rift Guardian","Flawless Orb",0.04888888888888889,225
"Gnawnia Rift","-","-","-","-","-","Shard Centurion","Rift Dust",0.840782122905028,358
"Gnawnia Rift","-","-","-","-","-","Spiritual Steel","Magic Seed",0.8459657701711492,409
"Gnawnia Rift","-","-","-","-","-","Goliath Field","Raw Rift Crystal",1,252
"Gnawnia Rift","-","-","-","-","-","Goliath Field","Ancient Relic",0.07539682539682539,252
"Gnawnia Rift","-","-","-","-","-","Goliath Field","Divine Orb",0.05952380952380952,252
