"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Acolyte Realm","-","-","-","-","-","Acolyte","Ancient Relic",0.4230769230769231,234
"Acolyte Realm","-","-","-","-","-","Black Widow","SUPER|brie+",4,1
"Acolyte Realm","-","-","-","-","-","Chrono","Rune",9.565217391304348,69
"Acolyte Realm","-","-","-","-","-","Chrono","Ancient Relic",0.6811594202898551,69
"Acolyte Realm","-","-","-","-","-","Chrono","Runic Potion",1.1884057971014492,69
"Acolyte Realm","-","-","-","-","-","Chrono","Ancient Potion",0.8405797101449275,69
"Acolyte Realm","-","-","-","-","-","Mutated Brown","Stale Cheese",2.111111111111111,18
"Acolyte Realm","-","-","-","-","-","Mutated Grey","Stale Cheese",1.3333333333333333,33
"Acolyte Realm","-","-","-","-","-","Mutated White","Stale Cheese",0.6666666666666666,33
"Acolyte Realm","-","-","-","-","-","Sorcerer","Rune",0.9037037037037037,810
